frame,category,score,speed(ms),fps
1,fishing,0.879383385181427,1570437344897.0,0.0
2,fishing,0.736062228679657,160.2,6.2
3,warship,0.7484070062637329,124.4,8.0
4,fishing,0.795337438583374,142.8,7.0
5,warship,0.5814529061317444,145.3,6.9
6,fishing,0.7838665246963501,145.7,6.9
7,warship,0.5345277786254883,149.1,6.7
8,fishing,0.8818047642707825,156.8,6.4
9,warship,0.8329606652259827,153.2,6.5
10,fishing,0.9436933398246765,148.7,6.7
11,fishing,0.8249214291572571,151.3,6.6
12,fishing,0.8620807528495789,129.5,7.7
13,fishing,0.902553915977478,155.4,6.4
14,merchant,0.8295987248420715,154.6,6.5
15,fishing,0.7366883158683777,144.8,6.9
16,fishing,0.8864728808403015,149.8,6.7
17,fishing,0.852635383605957,153.1,6.5
18,fishing,0.6424946188926697,149.7,6.7
19,fishing,0.8379417657852173,147.6,6.8
20,fishing,0.866486668586731,150.5,6.6
21,fishing,0.7883363962173462,151.9,6.6
22,fishing,0.7087517976760864,155.9,6.4
23,fishing,0.9079145789146423,143.1,7.0
24,fishing,0.9431262612342834,148.2,6.7
25,fishing,0.8550594449043274,155.0,6.5
26,fishing,0.7015648484230042,148.9,6.7
27,warship,0.6250343918800354,150.7,6.6
28,warship,0.8628735542297363,147.7,6.8
29,fishing,0.800695538520813,148.1,6.8
30,fishing,0.9338138699531555,142.3,7.0
31,fishing,0.6475325226783752,149.2,6.7
32,fishing,0.5939722061157227,145.8,6.9
33,fishing,0.8269786834716797,146.7,6.8
34,fishing,0.8024960160255432,161.9,6.2
35,fishing,0.6999232172966003,149.7,6.7
36,merchant,0.6662537455558777,160.4,6.2
37,merchant,0.7402585744857788,150.5,6.6
38,warship,0.5994863510131836,151.0,6.6
39,fishing,0.8414285778999329,147.0,6.8
40,fishing,0.7138611078262329,142.6,7.0
41,warship,0.5770593285560608,152.0,6.6
42,fishing,0.5570317506790161,133.3,7.5
43,warship,0.7692484855651855,150.6,6.6
44,warship,0.8804977536201477,145.8,6.9
45,warship,0.6030901074409485,154.3,6.5
46,merchant,0.753314197063446,152.3,6.6
47,merchant,0.9226260185241699,141.2,7.1
48,warship,0.6727722883224487,162.8,6.1
49,fishing,0.6785931587219238,145.0,6.9
50,merchant,0.8555573225021362,160.6,6.2
51,merchant,0.7028565406799316,151.1,6.6
52,merchant,0.6806150674819946,151.2,6.6
53,fishing,0.7691400051116943,144.4,6.9
54,fishing,0.6302072405815125,144.7,6.9
55,fishing,0.808776319026947,145.6,6.9
56,fishing,0.6943736672401428,149.1,6.7
57,fishing,0.836925745010376,155.4,6.4
58,small,0.5824720859527588,154.4,6.5
59,fishing,0.6742986440658569,144.0,6.9
60,fishing,0.7016866207122803,149.6,6.7
61,warship,0.7390361428260803,150.0,6.7
62,fishing,0.7885723114013672,154.5,6.5
63,fishing,0.5061485171318054,142.7,7.0
64,warship,0.5874013900756836,160.9,6.2
65,fishing,0.7076885104179382,147.9,6.8
66,small,0.6665700674057007,139.8,7.2
67,small,0.8085601925849915,155.8,6.4
68,small,0.7155227661132812,134.2,7.5
69,small,0.6793853044509888,122.8,8.1
70,warship,0.5556126832962036,146.7,6.8
71,,,,
72,,,,
73,,,,
74,fishing,0.6372789740562439,154.1,6.5
75,,,,
